"Title","URL"
"You'll regret using natural keys","https://blog.ploeh.dk/2024/06/03/youll-regret-using-natural-keys/"
"An animated introduction to Fourier series","https://www.andreinc.net/2024/04/24/from-the-circle-to-epicycles"
"Why do electronic components have such odd values? (2021)","https://digilent.com/blog/why-do-electronic-components-have-such-odd-values/"
"Hacking millions of modems and investigating who hacked my modem","https://samcurry.net/hacking-millions-of-modems"
"Why camera calibration is so important in computer vision","https://www.opencv.ai/blog/camera-calibration"
"How to chop off bytes of an UTF-8 string to fit into a small slot and look nice","https://domm.plix.at/perl/2024_06_chopping_utf8.html"
"Atash Behram – Types of Fire","https://en.wikipedia.org/wiki/Atash_Behram"
"Entropy, a CLI that scans files to find high entropy lines (might be secrets)","https://github.com/EwenQuim/entropy"
"Use context-free grammars instead of parser combinators and PEG","https://safinaskar.writeas.com/"
"Rejecting GMOs hinders human progress and keeps the poor hungry","https://www.theupwing.com/rejecting-gmos-hinders-human-progress-and-keeps-the-poor-hungry/"
